"","Best_fitness","Worst_fitness","Avg_fitness","fitness_std"
"1",7.92484540771002,6.91837430415365,7.41616024364331,0.196478771645747
"2",7.84484607151325,6.91837430415365,7.45956388857019,0.224344344163481
"3",7.92484540771002,7.02166796416143,7.4797808603556,0.238360342469303
"4",8.00863542587734,7.07505097046594,7.60388201450325,0.249050569459302
"5",8.00863542587734,7.07505097046594,7.66815373214055,0.274650181800229
"6",8.09674836071919,7.07505097046594,7.7108847169273,0.267165624764161
"7",8.18985359326115,7.02166796416143,7.77161519255717,0.278482428389057
"8",8.28881287214434,7.1296852797335,7.83610140357041,0.276068417458589
"9",8.39476789967933,7.18565053968124,7.90428843227151,0.272024035222111
"10",8.39476789967933,7.18565053968124,7.92392449276605,0.321552001743313
"11",8.39476789967933,7.24303517220525,7.98634460177055,0.294873680050742
"12",8.50928700935479,7.30193778789723,8.04427652473499,0.266560947304445
"13",8.50928700935479,7.48893149636737,8.07040543174008,0.241908893039544
"14",8.50928700935479,7.48893149636737,8.10890440056776,0.246811929811806
"15",8.50928700935479,7.48893149636737,8.16909901961853,0.23379536402894
"16",8.50928700935479,7.62363972765691,8.21886168917355,0.212960287288364
"17",8.50928700935479,7.62363972765691,8.24968467620186,0.208478733964578
"18",8.63462846846789,7.69456953220109,8.28284671274534,0.215557495174938
"19",8.63462846846789,7.55516529566581,8.34989358188902,0.212038902255748
"20",8.7742588283303,7.76820595540978,8.40411738857795,0.181105365127048
"21",8.7742588283303,8.00863542587734,8.43881063569481,0.163460926308635
"22",8.7742588283303,8.00863542587734,8.50385821424956,0.173023538454036
"23",8.7742588283303,8.00863542587734,8.50071334879931,0.185345346753447
"24",8.7742588283303,8.00863542587734,8.53200893251049,0.202767932809127
"25",8.7742588283303,8.09674836071919,8.5625564943077,0.193937394191827
"26",8.93401458101795,8.09674836071919,8.62765968563468,0.194709279781848
"27",8.93401458101795,8.00863542587734,8.68703030345844,0.188569679367324
"28",8.93401458101795,8.00863542587734,8.70357587131841,0.188398313603058
"29",8.93401458101795,8.09674836071919,8.72268631401974,0.202390664895325
"30",9.12527797034299,8.28881287214434,8.80375638016048,0.179131852239374
"31",9.37743988680151,8.39476789967933,8.85967353473481,0.177827628244028
"32",9.37743988680151,8.39476789967933,8.91947867578294,0.180268012876011
"33",9.37743988680151,8.39476789967933,8.97482356110233,0.22037450715514
"34",10,8.50928700935479,9.00518780923942,0.269785156639721
"35",10,8.39476789967933,9.08177545516754,0.326860530530058
"36",10,8.50928700935479,9.18043752820557,0.393225529239241
"37",10,8.50928700935479,9.31415980346415,0.402684636134015
"38",10,8.50928700935479,9.46719533861032,0.452742899130155
"39",10,8.7742588283303,9.55880595964734,0.43476868066274
"40",10,8.7742588283303,9.65117768073432,0.413231869211651
"41",10,8.7742588283303,9.73564056508321,0.377185224156388
"42",10,8.93401458101795,9.74668000625723,0.364683214952271
"43",10,8.93401458101795,9.73765460658261,0.393265214692991
"44",10,8.93401458101795,9.73781150014156,0.378816598232921
