"","x"
"1",7.99196002771002
"2",7.99196002771002
"3",7.99196002771002
"4",7.99196002771002
"5",8.07575004587734
"6",8.07575004587734
"7",8.07575004587734
"8",8.16386298071919
"9",8.16386298071919
"10",8.16386298071919
"11",8.25696821326115
"12",8.35592749214434
"13",8.46188251967933
"14",8.46188251967933
"15",8.46188251967933
"16",8.46188251967933
"17",8.46188251967933
"18",8.57640162935479
"19",8.57640162935479
"20",8.57640162935479
"21",8.70174308846789
"22",8.70174308846789
"23",8.70174308846789
"24",8.70174308846789
"25",8.70174308846789
"26",8.8413734483303
"27",8.8413734483303
"28",8.8413734483303
"29",8.8413734483303
"30",8.8413734483303
"31",8.8413734483303
"32",8.8413734483303
"33",8.8413734483303
"34",8.8413734483303
"35",8.8413734483303
"36",8.8413734483303
"37",8.8413734483303
"38",8.8413734483303
"39",8.8413734483303
"40",8.8413734483303
"41",8.8413734483303
"42",9.00112920101795
"43",9.00112920101795
"44",9.00112920101795
"45",9.00112920101795
"46",9.00112920101795
"47",9.19239259034299
"48",9.19239259034299
"49",9.19239259034299
"50",9.19239259034299
"51",9.19239259034299
"52",9.19239259034299
"53",9.19239259034299
"54",9.19239259034299
"55",9.19239259034299
"56",9.19239259034299
"57",9.19239259034299
"58",9.19239259034299
"59",9.19239259034299
"60",9.19239259034299
"61",9.19239259034299
"62",9.19239259034299
"63",9.19239259034299
"64",9.19239259034299
"65",9.19239259034299
"66",9.19239259034299
"67",9.19239259034299
"68",9.19239259034299
"69",9.19239259034299
"70",9.19239259034299
"71",9.19239259034299
"72",9.19239259034299
"73",9.19239259034299
"74",9.19239259034299
"75",9.19239259034299
