"","x"
"1",7.49868746400771
"2",7.60043923951748
"3",7.64954935471283
"4",7.74438001876698
"5",7.81108538959761
"6",7.86535714846594
"7",7.91158314874088
"8",7.98312484706143
"9",8.08923850411533
"10",8.08890516671631
"11",8.16366247463237
"12",8.22669072811447
"13",8.32810170691202
"14",8.4007191570106
"15",8.46073846019558
"16",8.47619844468575
"17",8.51286085252433
"18",8.5828227477537
"19",8.61508190267785
"20",8.64860726908499
"21",8.65442903099868
"22",8.70354560952712
"23",8.70380086262686
"24",8.72341405878677
"25",8.73815306788874
"26",8.75433646098605
"27",8.78270940828546
"28",8.80576377641527
"29",8.84754623622165
"30",8.88356398328311
"31",8.91827409541415
"32",8.92849178084497
"33",8.9269185522308
"34",8.89724366847667
"35",8.93290041316933
"36",8.95953393660917
"37",8.97783668454231
"38",8.97483866545043
"39",8.96685087781605
"40",8.96819257067106
"41",8.97517408866418
"42",8.96685087781605
"43",8.95943666174124
"44",8.70652821100829
"45",8.8658984794528
"46",8.90966887891393
"47",8.9120335107661
"48",8.88793428313483
"49",8.9045638244217
"50",8.93098061681914
"51",8.95336413852145
"52",8.95868933027771
"53",8.97251149278606
"54",8.9721760695723
"55",8.97750126132856
"56",8.9771658381148
"57",8.96651545460229
"58",8.96685087781605
"59",8.95121072576104
"60",8.94523547740918
"61",8.9136197500854
"62",8.89504596738037
"63",8.88739360295974
"64",8.9018866118956
"65",8.62786533813859
"66",8.72310296830641
"67",8.75510697039879
"68",8.78889397711099
"69",8.85317233461826
"70",8.91561797873549
"71",8.90349923699055
"72",8.93630650395383
"73",8.94469980102544
"74",8.97180814623584
"75",8.98226436631584
"76",8.99345136189625
"77",9.02925662264774
"78",9.03668232351315
"79",9.08183557496628
"80",9.08408180322566
"81",9.08726952638108
"82",9.11100622572901
"83",9.11067080251526
"84",9.11461031650318
"85",9.10949077297004
"86",9.11024687023794
"87",9.10721850424105
"88",9.11762197360337
"89",9.12632243936088
"90",9.11798774372213
"91",9.11704624882609
"92",9.10834362985089
"93",9.09675136513897
"94",9.11728439717191
"95",9.12065033960026
"96",9.13235097766735
"97",9.15871331340173
"98",9.14296440168818
"99",9.1307386363438
"100",9.12736120912485
"101",9.13606382810006
"102",9.15053582170381
"103",9.10631492090859
"104",9.11566057105776
"105",8.87694487677677
"106",8.91945340898531
"107",9.04031746982155
"108",9.08004989541789
"109",9.09446377544183
"110",9.16699956475819
"111",9.16328671432548
"112",9.13639925131381
"113",9.12417348596943
"114",9.13445148677651
"115",9.13445148677651
"116",9.11543390750255
"117",9.12042367604505
"118",9.11618569833505
"119",9.13977667853276
"120",9.1615656133434
"121",9.13231401817567
"122",9.15305269843172
"123",9.14329982490194
"124",9.12951016251629
"125",9.1419141471336
"126",8.75413049247802
"127",8.81166982752984
"128",8.88900591961415
"129",8.94465798133673
"130",8.97392322185371
"131",8.96610905790429
"132",8.94809459325026
"133",9.0264806908127
"134",9.07522269363361
"135",9.0735133506274
"136",9.06061106251867
"137",9.0636412783107
"138",9.10642459575179
"139",9.11673825456252
"140",9.11387001046128
"141",9.10706671174109
"142",9.10354356537192
"143",9.12784937691046
"144",9.13126376362109
"145",9.15571529430985
"146",9.1573276356334
"147",8.71565154730782
"148",8.84913479366
"149",8.9473675855853
"150",9.03744937310779
"151",9.06195166376272
"152",9.11340435219239
"153",9.16062743333103
"154",9.20333467093359
"155",9.31132266048899
"156",9.3174477923047
"157",9.32914843037178
"158",9.34445440117519
"159",9.37296583367285
"160",9.35514006379006
"161",9.37716853228049
"162",9.42557096466775
"163",9.41933831515566
"164",9.40252752072509
"165",9.39513709896203
"166",9.3825290031391
"167",9.3709358827684
"168",9.35093736518242
"169",9.347749642027
"170",9.3245634012856
"171",9.34238917116839
"172",9.38354397859133
"173",9.34340414662061
"174",9.36760536281424
"175",9.38557392949578
"176",9.35131969566096
"177",9.37285831597646
"178",9.37412360592382
"179",9.39296435125884
"180",9.38455895404355
"181",9.38035625543591
"182",9.37296583367285
"183",9.38977662810342
"184",9.39194937580661
"185",9.36253048555312
"186",9.36610053918708
"187",8.79565326891748
"188",9.02056847423429
"189",9.11086783103005
"190",9.23817444399945
"191",9.350270544129
"192",9.41097821017449
"193",9.45130661107629
"194",9.51721443124097
"195",9.53301070361195
"196",9.71801027593198
"197",9.70540218010905
"198",9.76351483905435
"199",9.7949043339792
"200",9.93419720014502
"201",9.88625840005452
"202",9.89243170333352
"203",9.92382119825838
"204",9.94457320203166
"205",9.88231719071181
"206",9.81782908545568
"207",9.85391327591054
"208",9.82536656431053
"209",9.85174052820735
"210",9.8551303943946
"211",9.91840138116667
"212",9.8489570911156
"213",9.91121310243545
