"","x"
"1",7.91196069151325
"2",7.91196069151325
"3",7.91196069151325
"4",8.25696821326115
"5",8.25696821326115
"6",8.25696821326115
"7",8.25696821326115
"8",8.25696821326115
"9",8.70174308846789
"10",8.70174308846789
"11",8.70174308846789
"12",8.70174308846789
"13",8.70174308846789
"14",8.70174308846789
"15",8.70174308846789
"16",8.8413734483303
"17",8.8413734483303
"18",8.8413734483303
"19",8.8413734483303
"20",8.8413734483303
"21",8.8413734483303
"22",8.8413734483303
"23",8.8413734483303
"24",9.00112920101795
"25",9.00112920101795
"26",9.00112920101795
"27",9.00112920101795
"28",9.00112920101795
"29",9.00112920101795
"30",9.00112920101795
"31",9.00112920101795
"32",9.00112920101795
"33",9.00112920101795
"34",9.00112920101795
"35",9.00112920101795
"36",9.00112920101795
"37",9.00112920101795
"38",9.00112920101795
"39",9.00112920101795
"40",9.00112920101795
"41",9.00112920101795
"42",9.00112920101795
"43",9.00112920101795
"44",9.00112920101795
"45",9.00112920101795
"46",9.00112920101795
"47",9.00112920101795
"48",9.00112920101795
"49",9.00112920101795
"50",9.00112920101795
"51",9.00112920101795
"52",9.00112920101795
"53",9.00112920101795
"54",9.00112920101795
"55",9.00112920101795
"56",9.00112920101795
"57",9.00112920101795
"58",9.00112920101795
"59",9.00112920101795
"60",9.00112920101795
"61",9.00112920101795
"62",9.00112920101795
"63",9.00112920101795
"64",9.00112920101795
"65",9.00112920101795
"66",9.00112920101795
"67",9.00112920101795
"68",9.00112920101795
"69",9.00112920101795
"70",9.00112920101795
"71",9.00112920101795
"72",9.00112920101795
"73",9.00112920101795
"74",9.19239259034299
"75",9.19239259034299
"76",9.19239259034299
"77",9.19239259034299
"78",9.19239259034299
"79",9.19239259034299
"80",9.19239259034299
"81",9.19239259034299
"82",9.19239259034299
"83",9.19239259034299
"84",9.19239259034299
"85",9.19239259034299
"86",9.19239259034299
"87",9.19239259034299
"88",9.19239259034299
"89",9.19239259034299
"90",9.19239259034299
"91",9.19239259034299
"92",9.19239259034299
"93",9.19239259034299
"94",9.19239259034299
"95",9.19239259034299
"96",9.19239259034299
"97",9.19239259034299
"98",9.19239259034299
"99",9.19239259034299
"100",9.19239259034299
"101",9.19239259034299
"102",9.19239259034299
"103",9.19239259034299
"104",9.19239259034299
"105",9.19239259034299
"106",9.19239259034299
"107",9.19239259034299
"108",9.19239259034299
"109",9.19239259034299
"110",9.19239259034299
"111",9.19239259034299
"112",9.19239259034299
"113",9.19239259034299
"114",9.19239259034299
"115",9.19239259034299
"116",9.19239259034299
"117",9.19239259034299
"118",9.19239259034299
"119",9.19239259034299
"120",9.19239259034299
"121",9.19239259034299
"122",9.19239259034299
"123",9.19239259034299
"124",9.19239259034299
"125",9.19239259034299
"126",9.19239259034299
"127",9.19239259034299
"128",9.19239259034299
"129",9.19239259034299
"130",9.19239259034299
"131",9.19239259034299
"132",9.19239259034299
"133",9.19239259034299
"134",9.19239259034299
"135",9.19239259034299
"136",9.19239259034299
"137",9.19239259034299
"138",9.19239259034299
"139",9.19239259034299
"140",9.19239259034299
"141",9.19239259034299
"142",9.19239259034299
"143",9.19239259034299
"144",9.19239259034299
"145",9.19239259034299
"146",9.19239259034299
"147",9.19239259034299
"148",9.19239259034299
"149",9.44455450680151
"150",9.44455450680151
"151",9.44455450680151
"152",9.44455450680151
"153",9.44455450680151
"154",9.44455450680151
"155",9.44455450680151
"156",9.44455450680151
"157",9.44455450680151
"158",9.44455450680151
"159",9.44455450680151
"160",9.44455450680151
"161",9.44455450680151
"162",9.44455450680151
"163",9.44455450680151
"164",9.44455450680151
"165",9.44455450680151
"166",9.44455450680151
"167",9.44455450680151
"168",9.44455450680151
"169",9.44455450680151
"170",9.44455450680151
"171",9.44455450680151
"172",9.44455450680151
"173",9.44455450680151
"174",9.44455450680151
"175",9.44455450680151
"176",9.44455450680151
"177",9.44455450680151
"178",9.44455450680151
"179",9.44455450680151
"180",9.44455450680151
"181",9.44455450680151
"182",9.44455450680151
"183",9.44455450680151
"184",9.44455450680151
"185",9.44455450680151
"186",9.44455450680151
"187",9.44455450680151
"188",9.44455450680151
"189",10.06711462
"190",10.06711462
"191",10.06711462
"192",10.06711462
"193",10.06711462
"194",10.06711462
"195",10.06711462
"196",10.06711462
"197",10.06711462
"198",10.06711462
"199",10.06711462
"200",10.06711462
"201",10.06711462
"202",10.06711462
"203",10.06711462
"204",10.06711462
"205",10.06711462
"206",10.06711462
"207",10.06711462
"208",10.06711462
"209",10.06711462
"210",10.06711462
"211",10.06711462
"212",10.06711462
"213",10.06711462
